 TCONST                                    ,DIRECTORS ,PRIMARYTITLE  ,ORIGINALTITLE,STARTYEAR,GENRES
tt0032157,nm0002030,Zaza,Zaza,1938,Drama
tt0026957,nm0674398,Bound for Cairo,Rumbo al Cairo,1940,Comedy
tt0027299,nm0109264,The Ancestor,L'antenato,1938,Comedy
tt0029115,nm0141351,Lassie from Lancashire,Lassie from Lancashire,1938,"Comedy,Romance"
tt0029276,nm0205760,Sergeant Laprida Died,Murió el sargento Laprida,1939,NULL
tt0029365,"nm0293260,nm0397678",Over the Moon,Over the Moon,1939,Comedy
tt0029503,nm0903160,Roxy und das Wunderteam,Roxy und das Wunderteam,1938,NULL
tt0029861,nm0485647,Always Goodbye,Always Goodbye,1938,"Comedy,Drama,Romance"
tt0029919,nm0825596,Footsteps in the Sand,Black Limelight,1939,"Crime,Drama,Mystery"
tt0030001,nm0627864,Code of the Rangers,Code of the Rangers,1938,Western
tt0030047,nm0687046,Defendemos nuestra tierra,Defendemos nuestra tierra,1938,"Documentary,Short,War"
tt0030069,nm0454790,Donald's Golf Game,Donald's Golf Game,1938,"Animation,Comedy,Family"
tt0030087,nm0657535,The Two Mothers,Le due madri,1940,Drama
tt0030151,nm0002031,Four's a Crowd,Four's a Crowd,1938,"Comedy,Romance"
tt0030184,nm0103975,Girls' School,Girls' School,1938,Comedy
tt0030202,"nm0245213,nm0903049,nm0281808",The Great Waltz,The Great Waltz,1938,"Biography,Drama,Music"
tt0030231,nm0890085,Hey! Hey! USA,Hey! Hey! USA,1938,Comedy
tt0030264,nm0783509,Ich liebe dich,Ich liebe dich,1938,NULL
tt0030265,nm0515979,If I Were King,If I Were King,1938,"Adventure,History"
tt0030271,nm0251456,Das indische Grabmal,Das indische Grabmal,1938,Drama
tt0030357,"nm0281487,nm0460667",Let's Celebrake,Let's Celebrake,1938,"Animation,Comedy,Family"
tt0030366,nm0627864,Lightning Carson Rides Again,Lightning Carson Rides Again,1938,Western
tt0030426,nm0080755,La mazurca di papà,La mazurca di papà,1938,Comedy
tt0030512,nm0850895,Now That Summer Is Gone,Now That Summer Is Gone,1938,"Animation,Comedy,Family"
tt0030567,nm0103975,Penitentiary,Penitentiary,1938,Drama
tt0030592,"nm0281487,nm0101466",Plumbing Is a 'Pipe',Plumbing Is a 'Pipe',1938,"Animation,Comedy,Family"
tt0030606,"nm0198246,nm0362041",Porky the Gob,Porky the Gob,1938,"Action,Adventure,Animation"
tt0030647,\N,Quintupland,Quintupland,1938,"Documentary,Short"
tt0030662,"nm0066247,nm0416258",Red Barry,Red Barry,1938,Action
tt0030747,nm0909436,Sigge Nilsson och jag,Sigge Nilsson och jag,1938,Comedy
tt0030763,nm0006943,Slander House,Slander House,1938,Drama
tt0030822,\N,"Swing, Swing, Swing","Swing, Swing, Swing",1938,NULL
tt0030848,nm0281808,Test Pilot,Test Pilot,1938,"Drama,Romance"
tt0030853,nm0002179,Thanks for the Memory,Thanks for the Memory,1938,Comedy
tt0030867,nm0861703,Three Loves Has Nancy,Three Loves Has Nancy,1938,Comedy
tt0030880,nm0132516,Too Many Husbands,Too Many Husbands,1938,NULL
tt0030893,nm0627864,Trigger Pals,Trigger Pals,1939,Western
tt0030942,nm0153713,Violent Is the Word for Curly,Violent Is the Word for Curly,1938,"Comedy,Short"
tt0030943,nm0624756,The Viper,The Viper,1938,"Comedy,Crime"
tt0030980,\N,The Winning Ticket,The Winning Ticket,1938,"Animation,Comedy,Family"
tt0031023,nm0007944,The Adventures of the Masked Phantom,The Adventures of the Masked Phantom,1939,Western
tt0031031,nm0627087,All Women Have Secrets,All Women Have Secrets,1939,Comedy
tt0031052,nm0397227,Arizona Legion,Arizona Legion,1939,Western
tt0031140,nm0627438,Carmen fra i rossi,Carmen fra i rossi,1939,War
tt0031206,nm0000813,Dangerous Dan McFoo,Dangerous Dan McFoo,1939,"Animation,Comedy,Family"
tt0031232,nm0282984,Disbarred,Disbarred,1939,"Crime,Drama,Thriller"
tt0031241,nm0454790,Donald's Cousin Gus,Donald's Cousin Gus,1939,"Animation,Comedy,Family"
tt0031250,nm0384616,Drifting Westward,Drifting Westward,1939,Western
tt0031258,nm0652302,Durga,Durga,1939,NULL
tt0031323,nm0219068,Flying Fifty-Five,Flying Fifty-Five,1939,Drama
tt0031412,"nm0243295,nm0782597",Hell's Kitchen,Hell's Kitchen,1939,Drama
tt0031424,"nm0894022,nm0674398",Los hijos de la noche,Los hijos de la noche,1939,"Comedy,Musical"
tt0031467,nm0780009,I Was a Convict,I Was a Convict,1939,"Crime,Drama,Romance"
tt0031503,nm0304098,I Accuse,J'accuse!,1938,"Drama,Horror,Sci-Fi"
tt0031537,nm0477702,Kitty and the World Conference,Kitty und die Weltkonferenz,1939,Comedy
tt0031559,"nm0281487,nm0460667",Leave Well Enough Alone,Leave Well Enough Alone,1939,"Animation,Comedy,Family"
tt0031586,"nm0257638,nm0936823",The Lone Ranger Rides Again,The Lone Ranger Rides Again,1939,Western
tt0031680,nm0631438,Mr. Wong in Chinatown,Mr. Wong in Chinatown,1939,Mystery
tt0031709,nm0166058,Nancy Drew... Reporter,Nancy Drew... Reporter,1939,"Comedy,Crime,Mystery"
tt0031745,"nm0472406,nm0134898",Ohnivé léto,Ohnivé léto,1939,"Drama,Romance"
tt0031759,nm0776838,One Hour to Live,One Hour to Live,1939,Drama
tt0031835,nm0113284,The Rains Came,The Rains Came,1939,"Adventure,Drama,Romance"
