" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0032157","nm0002030","Zaza","Zaza","1938","Drama"
"tt0025013","nm0674398","World Crisis","Crisis mundial","1937",NULL
"tt0027299","nm0109264","The Ancestor","L'antenato","1938","Comedy"
"tt0027758","nm0245213","The Man of the Hour","L'homme du jour","1937","Musical"
"tt0027900","nm0175265","The Littlest Diplomat","The Littlest Diplomat","1937","Adventure,Drama,Musical"
"tt0028587","nm0909825","Artists & Models","Artists & Models","1937","Comedy,Musical"
"tt0028623","nm0782707","Between Two Women","Between Two Women","1937","Drama,Romance"
"tt0028631","nm0921288","Big Town Girl","Big Town Girl","1937","Comedy,Drama"
"tt0028670","nm0003422","Bulldog Drummond's Revenge","Bulldog Drummond's Revenge","1937","Adventure,Mystery"
"tt0028675","nm0825596","Danger in Paris","Cafe Colette","1937","Thriller"
"tt0028679","nm0562845","Call It a Day","Call It a Day","1937","Comedy"
"tt0028724","nm0293989","Clean Pastures","Clean Pastures","1937","Animation,Comedy,Family"
"tt0028732","nm0437356","Come on, Cowboys","Come on, Cowboys","1937","Action,Romance,Western"
"tt0028784","nm0175265","The Devil's Saddle Legion","The Devil's Saddle Legion","1937","Western"
"tt0028846","nm0287988","Fair Warning","Fair Warning","1937","Adventure,Mystery,Western"
"tt0028859","nm0293989","The Fella with the Fiddle","The Fella with the Fiddle","1937","Animation,Comedy,Family"
"tt0028880","nm0484645","Flight from Glory","Flight from Glory","1937","Drama"
"tt0028884","nm0412274","Flådens blå matroser","Flådens blå matroser","1937","Family"
"tt0029054","nm0005847","It Could Happen to You!","It Could Happen to You!","1937","Drama"
"tt0029064","nm0293260","Dark Sands","Jericho","1937","Adventure,Drama,Musical"
"tt0029067","\N","Jogo do Pau","Jogo do Pau","1937","Documentary"
"tt0029115","nm0141351","Lassie from Lancashire","Lassie from Lancashire","1938","Comedy,Romance"
"tt0029126","nm0627864","A Lawman Is Born","A Lawman Is Born","1937","Western"
"tt0029231","nm0268513","Men in Exile","Men in Exile","1937","Crime,Drama,Romance"
"tt0029259","nm0627864","Moonlight on the Range","Moonlight on the Range","1937","Western"
"tt0029276","nm0205760","Sergeant Laprida Died","Murió el sargento Laprida","1939",NULL
"tt0029280","nm0517005","Mutiny on the Elsinore","The Mutiny of the Elsinore","1937","Action,Adventure,Crime"
"tt0029343","nm0166836","On Again-Off Again","On Again-Off Again","1937","Comedy,Musical"
"tt0029365","nm0293260,nm0397678","Over the Moon","Over the Moon","1939","Comedy"
"tt0029366","nm0170973","Paid to Dance","Paid to Dance","1937","Drama"
"tt0029367","nm0416258,nm0853028,nm0936823","The Painted Stallion","The Painted Stallion","1937","Western"
"tt0029400","nm0000813","Picador Porky","Picador Porky","1937","Animation,Comedy,Family"
"tt0029402","nm0293989","Pigs Is Pigs","Pigs Is Pigs","1937","Animation,Comedy,Family"
"tt0029423","nm0163332","Porky's Badtime Story","Porky's Badtime Story","1937","Animation,Comedy,Family"
"tt0029491","nm0001843","The Road Back","The Road Back","1937","Drama,War"
"tt0029503","nm0903160","Roxy und das Wunderteam","Roxy und das Wunderteam","1938",NULL
"tt0029513","nm0317856","Sanidad","Sanidad","1937","Documentary,Short,War"
"tt0029514","nm0216941","Santander para España","Santander para España","1937","Documentary,Short,War"
